selfish;4;3;0.01;-2.0;100;2;100;0;-3.357305979363456e-06
coop;4;3;0.01;-2.0;100;2;100;0;-3.357305979363456e-06
selfish;4;3;0.01;-1.9595959595959596;100;2;100;0;-3.3573062264418733e-06
coop;4;3;0.01;-1.9595959595959596;100;2;100;0;-3.3573062264418733e-06
selfish;4;3;0.01;-1.9191919191919191;100;2;100;0;-3.3573064735108694e-06
coop;4;3;0.01;-1.9191919191919191;100;2;100;0;-3.3573064735108694e-06
selfish;4;3;0.01;-1.878787878787879;100;2;100;0;-3.3573067205698353e-06
coop;4;3;0.01;-1.878787878787879;100;2;100;0;-3.3573067205698353e-06
selfish;4;3;0.01;-1.8383838383838385;100;2;100;0;-3.3573069676785026e-06
coop;4;3;0.01;-1.8383838383838385;100;2;100;0;-3.3573069676785026e-06
selfish;4;3;0.01;-1.797979797979798;100;2;100;0;-3.357307214716724e-06
coop;4;3;0.01;-1.797979797979798;100;2;100;0;-3.357307214716724e-06
selfish;4;3;0.01;-1.7575757575757576;100;2;100;0;-3.3573074618059776e-06
coop;4;3;0.01;-1.7575757575757576;100;2;100;0;-3.3573074618059776e-06
selfish;4;3;0.01;-1.7171717171717171;100;2;100;0;-3.357307708885211e-06
coop;4;3;0.01;-1.7171717171717171;100;2;100;0;-3.357307708885211e-06
selfish;4;3;0.01;-1.6767676767676767;100;2;100;0;-3.3573079559537e-06
coop;4;3;0.01;-1.6767676767676767;100;2;100;0;-3.3573079559537e-06
selfish;4;3;0.01;-1.6363636363636362;100;2;100;0;-3.3573082030784956e-06
coop;4;3;0.01;-1.6363636363636362;100;2;100;0;-3.3573082030784956e-06
selfish;4;3;0.01;-1.595959595959596;100;2;100;0;-3.357308450124745e-06
coop;4;3;0.01;-1.595959595959596;100;2;100;0;-3.357308450124745e-06
selfish;4;3;0.01;-1.5555555555555556;100;2;100;0;-3.3573086972290713e-06
coop;4;3;0.01;-1.5555555555555556;100;2;100;0;-3.3573086972290713e-06
selfish;4;3;0.01;-1.5151515151515151;100;2;100;0;-3.3573089442495705e-06
coop;4;3;0.01;-1.5151515151515151;100;2;100;0;-3.3573089442495705e-06
selfish;4;3;0.01;-1.4747474747474747;100;2;100;0;-3.3573091913299177e-06
coop;4;3;0.01;-1.4747474747474747;100;2;100;0;-3.3573091913299177e-06
selfish;4;3;0.01;-1.4343434343434343;100;2;100;0;-3.35730943847517e-06
coop;4;3;0.01;-1.4343434343434343;100;2;100;0;-3.35730943847517e-06
selfish;4;3;0.01;-1.393939393939394;100;2;100;0;-3.3573096855316782e-06
coop;4;3;0.01;-1.393939393939394;100;2;100;0;-3.3573096855316782e-06
selfish;4;3;0.01;-1.3535353535353534;100;2;100;0;-3.357309932573521e-06
coop;4;3;0.01;-1.3535353535353534;100;2;100;0;-3.357309932573521e-06
selfish;4;3;0.01;-1.3131313131313131;100;2;100;0;-3.3573101796838895e-06
coop;4;3;0.01;-1.3131313131313131;100;2;100;0;-3.3573101796838895e-06
selfish;4;3;0.01;-1.2727272727272727;100;2;100;0;-3.35731042678208e-06
coop;4;3;0.01;-1.2727272727272727;100;2;100;0;-3.35731042678208e-06
selfish;4;3;0.01;-1.2323232323232323;100;2;100;0;-3.3573106738668943e-06
coop;4;3;0.01;-1.2323232323232323;100;2;100;0;-3.3573106738668943e-06
selfish;4;3;0.01;-1.1919191919191918;100;2;100;0;-3.357310920936972e-06
coop;4;3;0.01;-1.1919191919191918;100;2;100;0;-3.357310920936972e-06
selfish;4;3;0.01;-1.1515151515151514;100;2;100;0;-3.357311167990762e-06
coop;4;3;0.01;-1.1515151515151514;100;2;100;0;-3.357311167990762e-06
selfish;4;3;0.01;-1.1111111111111112;100;2;100;0;-3.3573114150264868e-06
coop;4;3;0.01;-1.1111111111111112;100;2;100;0;-3.3573114150264868e-06
selfish;4;3;0.01;-1.0707070707070705;100;2;100;0;-3.3573116621457936e-06
coop;4;3;0.01;-1.0707070707070705;100;2;100;0;-3.3573116621457936e-06
selfish;4;3;0.01;-1.0303030303030303;100;2;100;0;-3.3573119092507564e-06
coop;4;3;0.01;-1.0303030303030303;100;2;100;0;-3.3573119092507564e-06
selfish;4;3;0.01;-0.9898989898989898;100;2;100;0;-3.3573121563396205e-06
coop;4;3;0.01;-0.9898989898989898;100;2;100;0;-3.3573121563396205e-06
selfish;4;3;0.01;-0.9494949494949494;100;2;100;0;-3.35731240341033e-06
coop;4;3;0.01;-0.9494949494949494;100;2;100;0;-3.35731240341033e-06
selfish;4;3;0.01;-0.909090909090909;100;2;100;0;-3.357312650460465e-06
coop;4;3;0.01;-0.909090909090909;100;2;100;0;-3.357312650460465e-06
selfish;4;3;0.01;-0.8686868686868685;100;2;100;0;-3.3573128974871533e-06
coop;4;3;0.01;-0.8686868686868685;100;2;100;0;-3.3573128974871533e-06
selfish;4;3;0.01;-0.8282828282828283;100;2;100;0;-3.3573131446210033e-06
coop;4;3;0.01;-0.8282828282828283;100;2;100;0;-3.3573131446210033e-06
selfish;4;3;0.01;-0.7878787878787878;100;2;100;0;-3.3573133917375895e-06
coop;4;3;0.01;-0.7878787878787878;100;2;100;0;-3.3573133917375895e-06
selfish;4;3;0.01;-0.7474747474747474;100;2;100;0;-3.3573136388341116e-06
coop;4;3;0.01;-0.7474747474747474;100;2;100;0;-3.3573136388341116e-06
selfish;4;3;0.01;-0.707070707070707;100;2;100;0;-3.3573138859071302e-06
coop;4;3;0.01;-0.707070707070707;100;2;100;0;-3.3573138859071302e-06
selfish;4;3;0.01;-0.6666666666666665;100;2;100;0;-3.357314132952372e-06
coop;4;3;0.01;-0.6666666666666665;100;2;100;0;-3.357314132952372e-06
selfish;4;3;0.01;-0.6262626262626261;100;2;100;0;-3.3573143799644607e-06
coop;4;3;0.01;-0.6262626262626261;100;2;100;0;-3.3573143799644607e-06
selfish;4;3;0.01;-0.5858585858585856;100;2;100;0;-3.35731462712604e-06
coop;4;3;0.01;-0.5858585858585856;100;2;100;0;-3.35731462712604e-06
selfish;4;3;0.01;-0.5454545454545454;100;2;100;0;-3.3573148742667887e-06
coop;4;3;0.01;-0.5454545454545454;100;2;100;0;-3.3573148742667887e-06
selfish;4;3;0.01;-0.505050505050505;100;2;100;0;-3.357315121161886e-06
coop;4;3;0.01;-0.505050505050505;100;2;100;0;-3.357315121161886e-06
selfish;4;3;0.01;-0.46464646464646453;100;2;100;0;-3.357315368225126e-06
coop;4;3;0.01;-0.46464646464646453;100;2;100;0;-3.357315368225126e-06
selfish;4;3;0.01;-0.4242424242424241;100;2;100;0;-3.3573156155045488e-06
coop;4;3;0.01;-0.4242424242424241;100;2;100;0;-3.3573156155045488e-06
selfish;4;3;0.01;-0.38383838383838365;100;2;100;0;-3.357315862489939e-06
coop;4;3;0.01;-0.38383838383838365;100;2;100;0;-3.357315862489939e-06
selfish;4;3;0.01;-0.3434343434343432;100;2;100;0;-3.357316109724061e-06
coop;4;3;0.01;-0.3434343434343432;100;2;100;0;-3.357316109724061e-06
selfish;4;3;0.01;-0.303030303030303;100;2;100;0;-3.357316356573659e-06
coop;4;3;0.01;-0.303030303030303;100;2;100;0;-3.357316356573659e-06
selfish;4;3;0.01;-0.26262626262626254;100;2;100;0;-3.357316603706743e-06
coop;4;3;0.01;-0.26262626262626254;100;2;100;0;-3.357316603706743e-06
selfish;4;3;0.01;-0.2222222222222221;100;2;100;0;-3.3573168507783377e-06
coop;4;3;0.01;-0.2222222222222221;100;2;100;0;-3.3573168507783377e-06
selfish;4;3;0.01;-0.18181818181818166;100;2;100;0;-3.3573170977474504e-06
coop;4;3;0.01;-0.18181818181818166;100;2;100;0;-3.3573170977474504e-06
selfish;4;3;0.01;-0.14141414141414121;100;2;100;0;-3.3573173453113267e-06
coop;4;3;0.01;-0.14141414141414121;100;2;100;0;-3.3573173453113267e-06
selfish;4;3;0.01;-0.10101010101010077;100;2;100;0;-3.3573175919854394e-06
coop;4;3;0.01;-0.10101010101010077;100;2;100;0;-3.3573175919854394e-06
selfish;4;3;0.01;-0.06060606060606055;100;2;100;0;-3.3573178396539866e-06
coop;4;3;0.01;-0.06060606060606055;100;2;100;0;-3.3573178396539866e-06
selfish;4;3;0.01;-0.02020202020202011;100;2;100;0;-3.3573180887880464e-06
coop;4;3;0.01;-0.02020202020202011;100;2;100;0;-3.3573180887880464e-06
selfish;4;3;0.01;0.020202020202020332;100;2;100;0;-3.3573183305945826e-06
coop;4;3;0.01;0.020202020202020332;100;2;100;0;-3.3573183305945826e-06
selfish;4;3;0.01;0.060606060606060996;100;2;100;0;-3.3573185797286294e-06
coop;4;3;0.01;0.060606060606060996;100;2;100;0;-3.3573185797286294e-06
selfish;4;3;0.01;0.10101010101010122;100;2;100;0;-3.357318827397197e-06
coop;4;3;0.01;0.10101010101010122;100;2;100;0;-3.357318827397197e-06
selfish;4;3;0.01;0.14141414141414144;100;2;100;0;-3.3573190748563994e-06
coop;4;3;0.01;0.14141414141414144;100;2;100;0;-3.3573190748563994e-06
selfish;4;3;0.01;0.1818181818181821;100;2;100;0;-3.35731932102456e-06
coop;4;3;0.01;0.1818181818181821;100;2;100;0;-3.35731932102456e-06
selfish;4;3;0.01;0.22222222222222232;100;2;100;0;-3.357319568604298e-06
coop;4;3;0.01;0.22222222222222232;100;2;100;0;-3.357319568604298e-06
selfish;4;3;0.01;0.262626262626263;100;2;100;0;-3.3573198160986276e-06
coop;4;3;0.01;0.262626262626263;100;2;100;0;-3.3573198160986276e-06
selfish;4;3;0.01;0.3030303030303032;100;2;100;0;-3.357320062808975e-06
coop;4;3;0.01;0.3030303030303032;100;2;100;0;-3.357320062808975e-06
selfish;4;3;0.01;0.3434343434343434;100;2;100;0;-3.357320309658577e-06
coop;4;3;0.01;0.3434343434343434;100;2;100;0;-3.357320309658577e-06
selfish;4;3;0.01;0.3838383838383841;100;2;100;0;-3.3573205571819384e-06
coop;4;3;0.01;0.3838383838383841;100;2;100;0;-3.3573205571819384e-06
selfish;4;3;0.01;0.4242424242424243;100;2;100;0;-3.3573208041397826e-06
coop;4;3;0.01;0.4242424242424243;100;2;100;0;-3.3573208041397826e-06
selfish;4;3;0.01;0.464646464646465;100;2;100;0;-3.357321051157508e-06
coop;4;3;0.01;0.464646464646465;100;2;100;0;-3.357321051157508e-06
selfish;4;3;0.01;0.5050505050505052;100;2;100;0;-3.357321298220749e-06
coop;4;3;0.01;0.5050505050505052;100;2;100;0;-3.357321298220749e-06
selfish;4;3;0.01;0.5454545454545459;100;2;100;0;-3.3573215453193854e-06
coop;4;3;0.01;0.5454545454545459;100;2;100;0;-3.3573215453193854e-06
selfish;4;3;0.01;0.5858585858585861;100;2;100;0;-3.357321792446099e-06
coop;4;3;0.01;0.5858585858585861;100;2;100;0;-3.357321792446099e-06
selfish;4;3;0.01;0.6262626262626263;100;2;100;0;-3.357322039595453e-06
coop;4;3;0.01;0.6262626262626263;100;2;100;0;-3.357322039595453e-06
selfish;4;3;0.01;0.666666666666667;100;2;100;0;-3.3573222864302624e-06
coop;4;3;0.01;0.666666666666667;100;2;100;0;-3.3573222864302624e-06
selfish;4;3;0.01;0.7070707070707072;100;2;100;0;-3.357322533632522e-06
coop;4;3;0.01;0.7070707070707072;100;2;100;0;-3.357322533632522e-06
selfish;4;3;0.01;0.7474747474747478;100;2;100;0;-3.357322780845582e-06
coop;4;3;0.01;0.7474747474747478;100;2;100;0;-3.357322780845582e-06
selfish;4;3;0.01;0.7878787878787881;100;2;100;0;-3.357323027785958e-06
coop;4;3;0.01;0.7878787878787881;100;2;100;0;-3.357323027785958e-06
selfish;4;3;0.01;0.8282828282828287;100;2;100;0;-3.3573232750297083e-06
coop;4;3;0.01;0.8282828282828287;100;2;100;0;-3.3573232750297083e-06
selfish;4;3;0.01;0.868686868686869;100;2;100;0;-3.3573235220232862e-06
coop;4;3;0.01;0.868686868686869;100;2;100;0;-3.3573235220232862e-06
selfish;4;3;0.01;0.9090909090909092;100;2;100;0;-3.3573237690442953e-06
coop;4;3;0.01;0.9090909090909092;100;2;100;0;-3.3573237690442953e-06
selfish;4;3;0.01;0.9494949494949498;100;2;100;0;-6.193039049017173e-06
coop;4;3;0.01;0.9494949494949498;100;2;100;0;-3.226942310842573e-06
selfish;4;3;0.01;0.9898989898989901;100;2;100;0;-4.62501933038281e-06
coop;4;3;0.01;0.9898989898989901;100;2;100;0;-4.833848244778346e-06
selfish;4;3;0.01;1.0303030303030307;100;2;100;0;-5.763690124603084e-06
coop;4;3;0.01;1.0303030303030307;100;2;100;0;-5.879230476245348e-06
selfish;4;3;0.01;1.070707070707071;100;2;100;0;-3.419301094193495e-06
coop;4;3;0.01;1.070707070707071;100;2;100;0;-3.522999970629398e-06
selfish;4;3;0.01;1.1111111111111112;100;2;100;0;-4.210829480074673e-06
coop;4;3;0.01;1.1111111111111112;100;2;100;0;-4.304118100885157e-06
selfish;4;3;0.01;1.1515151515151518;100;2;100;0;-4.94498756688067e-06
coop;4;3;0.01;1.1515151515151518;100;2;100;0;-5.029092130149785e-06
selfish;4;3;0.01;1.191919191919192;100;2;100;0;-5.455761152315799e-06
coop;4;3;0.01;1.191919191919192;100;2;100;0;-5.502716742489952e-06
selfish;4;3;0.01;1.2323232323232327;100;2;100;0;-5.848901669694054e-06
coop;4;3;0.01;1.2323232323232327;100;2;100;0;-5.891397125322278e-06
selfish;4;3;0.01;1.272727272727273;100;2;100;0;-6.216038448754496e-06
coop;4;3;0.01;1.272727272727273;100;2;100;0;-6.254563160214473e-06
selfish;4;3;0.01;1.3131313131313136;100;2;100;0;-3.3595414350775842e-06
coop;4;3;0.01;1.3131313131313136;100;2;100;0;-3.394522065837892e-06
selfish;4;3;0.01;1.3535353535353538;100;2;100;0;-3.681569020159421e-06
coop;4;3;0.01;1.3535353535353538;100;2;100;0;-3.7133784171930175e-06
selfish;4;3;0.01;1.393939393939394;100;2;100;0;-3.983964418736574e-06
coop;4;3;0.01;1.393939393939394;100;2;100;0;-4.01292996755007e-06
selfish;4;3;0.01;1.4343434343434347;100;2;100;0;-4.268384105511256e-06
coop;4;3;0.01;1.4343434343434347;100;2;100;0;-4.294794038079801e-06
